[2026-07-05T06:21:29.121Z] Starting geo-batch…
  Checkpoint: 0 ok, 0 fail, 0 processed
  Remaining: 163145 unique addresses  (already cached: 0)
  [50/163145 (0.0%)]  OK:43  FAIL:7  ETA:54.4h
  [100/163145 (0.1%)]  OK:72  FAIL:28  ETA:54.3h
  [150/163145 (0.1%)]  OK:122  FAIL:28  ETA:54.3h
  [200/163145 (0.1%)]  OK:172  FAIL:28  ETA:54.3h
  [250/163145 (0.2%)]  OK:222  FAIL:28  ETA:54.3h
  [300/163145 (0.2%)]  OK:272  FAIL:28  ETA:54.3h
  [350/163145 (0.2%)]  OK:322  FAIL:28  ETA:54.3h
  [400/163145 (0.2%)]  OK:372  FAIL:28  ETA:54.2h
  [450/163145 (0.3%)]  OK:422  FAIL:28  ETA:54.2h
FATAL: fetch failed
[2026-07-05T07:06:57.150Z] Starting geo-batch…
  Checkpoint: 422 ok, 28 fail, 450 processed
  Remaining: 162666 unique addresses  (already cached: 450)
  [500/162666 (0.3%)]  OK:472  FAIL:28  ETA:54.1h
  [550/162666 (0.3%)]  OK:521  FAIL:29  ETA:54.0h
  [600/162666 (0.4%)]  OK:571  FAIL:29  ETA:54.0h
  [650/162666 (0.4%)]  OK:618  FAIL:32  ETA:54.0h
  [700/162666 (0.4%)]  OK:632  FAIL:68  ETA:54.0h
  [750/162666 (0.5%)]  OK:638  FAIL:112  ETA:54.0h
  [800/162666 (0.5%)]  OK:641  FAIL:159  ETA:54.0h
  [850/162666 (0.5%)]  OK:646  FAIL:204  ETA:53.9h
  [900/162666 (0.6%)]  OK:653  FAIL:247  ETA:53.9h
  [950/162666 (0.6%)]  OK:659  FAIL:291  ETA:53.9h
  [1000/162666 (0.6%)]  OK:692  FAIL:308  ETA:53.9h
  [1050/162666 (0.6%)]  OK:741  FAIL:309  ETA:53.9h
  [1100/162666 (0.7%)]  OK:790  FAIL:310  ETA:53.9h
  Retry 1/2 for 34 Winmalee Road, balwyn VIC 3103, Australia... (fetch failed)
  [1150/162666 (0.7%)]  OK:840  FAIL:310  ETA:53.8h
  [1200/162666 (0.7%)]  OK:890  FAIL:310  ETA:53.8h
  [1250/162666 (0.8%)]  OK:932  FAIL:318  ETA:53.8h
  [1300/162666 (0.8%)]  OK:981  FAIL:319  ETA:53.8h
  [1350/162666 (0.8%)]  OK:1029  FAIL:321  ETA:53.8h
  [1400/162666 (0.9%)]  OK:1076  FAIL:324  ETA:53.8h
  [1450/162666 (0.9%)]  OK:1125  FAIL:325  ETA:53.7h
  Retry 1/2 for 8 Tranquillity Place, beaconsfield VIC 3807, Australia... (fetch failed)
  [1500/162666 (0.9%)]  OK:1174  FAIL:326  ETA:53.7h
  [1550/162666 (1.0%)]  OK:1221  FAIL:329  ETA:53.7h
  [1600/162666 (1.0%)]  OK:1271  FAIL:329  ETA:53.7h
  [1650/162666 (1.0%)]  OK:1321  FAIL:329  ETA:53.7h
  [1700/162666 (1.0%)]  OK:1371  FAIL:329  ETA:53.7h
  [1750/162666 (1.1%)]  OK:1421  FAIL:329  ETA:53.6h
  [1800/162666 (1.1%)]  OK:1469  FAIL:331  ETA:53.6h
  [1850/162666 (1.1%)]  OK:1519  FAIL:331  ETA:53.6h
  [1900/162666 (1.2%)]  OK:1569  FAIL:331  ETA:53.6h
  [1950/162666 (1.2%)]  OK:1619  FAIL:331  ETA:53.6h
  [2000/162666 (1.2%)]  OK:1669  FAIL:331  ETA:53.6h
  [2050/162666 (1.3%)]  OK:1709  FAIL:341  ETA:53.5h
  [2100/162666 (1.3%)]  OK:1709  FAIL:391  ETA:53.5h
  [2150/162666 (1.3%)]  OK:1709  FAIL:441  ETA:53.5h
  [2200/162666 (1.4%)]  OK:1709  FAIL:491  ETA:53.5h
  [2250/162666 (1.4%)]  OK:1709  FAIL:541  ETA:53.5h
  [2300/162666 (1.4%)]  OK:1709  FAIL:591  ETA:53.5h
  [2350/162666 (1.4%)]  OK:1723  FAIL:627  ETA:53.4h
  [2400/162666 (1.5%)]  OK:1773  FAIL:627  ETA:53.4h
  [2450/162666 (1.5%)]  OK:1823  FAIL:627  ETA:53.4h
  [2500/162666 (1.5%)]  OK:1873  FAIL:627  ETA:53.4h
  [2550/162666 (1.6%)]  OK:1923  FAIL:627  ETA:53.4h
  [2600/162666 (1.6%)]  OK:1973  FAIL:627  ETA:53.4h
  [2650/162666 (1.6%)]  OK:2023  FAIL:627  ETA:53.3h
  [2700/162666 (1.7%)]  OK:2071  FAIL:629  ETA:53.3h
  [2750/162666 (1.7%)]  OK:2121  FAIL:629  ETA:53.3h
  [2800/162666 (1.7%)]  OK:2171  FAIL:629  ETA:53.3h
  [2850/162666 (1.8%)]  OK:2221  FAIL:629  ETA:53.3h
  [2900/162666 (1.8%)]  OK:2271  FAIL:629  ETA:53.3h
  [2950/162666 (1.8%)]  OK:2321  FAIL:629  ETA:53.2h
  [3000/162666 (1.8%)]  OK:2371  FAIL:629  ETA:53.2h
  [3050/162666 (1.9%)]  OK:2421  FAIL:629  ETA:53.2h
  [3100/162666 (1.9%)]  OK:2471  FAIL:629  ETA:53.2h
  [3150/162666 (1.9%)]  OK:2521  FAIL:629  ETA:53.2h
  [3200/162666 (2.0%)]  OK:2571  FAIL:629  ETA:53.2h
  [3250/162666 (2.0%)]  OK:2621  FAIL:629  ETA:53.1h
  [3300/162666 (2.0%)]  OK:2670  FAIL:630  ETA:53.1h
  [3350/162666 (2.1%)]  OK:2713  FAIL:637  ETA:53.1h
  [3400/162666 (2.1%)]  OK:2757  FAIL:643  ETA:53.1h
  [3450/162666 (2.1%)]  OK:2807  FAIL:643  ETA:53.1h
  [3500/162666 (2.2%)]  OK:2857  FAIL:643  ETA:53.1h
  [3550/162666 (2.2%)]  OK:2907  FAIL:643  ETA:53.0h
  [3600/162666 (2.2%)]  OK:2957  FAIL:643  ETA:53.0h
  [3650/162666 (2.2%)]  OK:3007  FAIL:643  ETA:53.0h
  [3700/162666 (2.3%)]  OK:3056  FAIL:644  ETA:53.0h
  [3750/162666 (2.3%)]  OK:3102  FAIL:648  ETA:53.0h
  [3800/162666 (2.3%)]  OK:3151  FAIL:649  ETA:53.0h
  [3850/162666 (2.4%)]  OK:3198  FAIL:652  ETA:52.9h
  [3900/162666 (2.4%)]  OK:3246  FAIL:654  ETA:52.9h
  [3950/162666 (2.4%)]  OK:3294  FAIL:656  ETA:52.9h
  [4000/162666 (2.5%)]  OK:3344  FAIL:656  ETA:52.9h
  [4050/162666 (2.5%)]  OK:3392  FAIL:658  ETA:52.9h
  [4100/162666 (2.5%)]  OK:3439  FAIL:661  ETA:52.9h
  [4150/162666 (2.6%)]  OK:3486  FAIL:664  ETA:52.8h
  [4200/162666 (2.6%)]  OK:3535  FAIL:665  ETA:52.8h
  [4250/162666 (2.6%)]  OK:3585  FAIL:665  ETA:52.8h
  [4300/162666 (2.6%)]  OK:3633  FAIL:667  ETA:52.8h
  [4350/162666 (2.7%)]  OK:3683  FAIL:667  ETA:52.8h
  [4400/162666 (2.7%)]  OK:3731  FAIL:669  ETA:52.8h
  [4450/162666 (2.7%)]  OK:3762  FAIL:688  ETA:52.7h
  [4500/162666 (2.8%)]  OK:3812  FAIL:688  ETA:52.7h
  [4550/162666 (2.8%)]  OK:3861  FAIL:689  ETA:52.7h
  [4600/162666 (2.8%)]  OK:3911  FAIL:689  ETA:52.7h
  [4650/162666 (2.9%)]  OK:3960  FAIL:690  ETA:52.7h
  [4700/162666 (2.9%)]  OK:4009  FAIL:691  ETA:52.7h
  [4750/162666 (2.9%)]  OK:4059  FAIL:691  ETA:52.6h
  [4800/162666 (3.0%)]  OK:4109  FAIL:691  ETA:52.6h
  [4850/162666 (3.0%)]  OK:4159  FAIL:691  ETA:52.6h
  [4900/162666 (3.0%)]  OK:4209  FAIL:691  ETA:52.6h
  [4950/162666 (3.0%)]  OK:4258  FAIL:692  ETA:52.6h
  [5000/162666 (3.1%)]  OK:4308  FAIL:692  ETA:52.6h
  [5050/162666 (3.1%)]  OK:4358  FAIL:692  ETA:52.5h
  [5100/162666 (3.1%)]  OK:4408  FAIL:692  ETA:52.5h
  [5150/162666 (3.2%)]  OK:4458  FAIL:692  ETA:52.5h
  [5200/162666 (3.2%)]  OK:4508  FAIL:692  ETA:52.5h
  [5250/162666 (3.2%)]  OK:4558  FAIL:692  ETA:52.5h
  [5300/162666 (3.3%)]  OK:4606  FAIL:694  ETA:52.5h
  [5350/162666 (3.3%)]  OK:4656  FAIL:694  ETA:52.4h
  [5400/162666 (3.3%)]  OK:4706  FAIL:694  ETA:52.4h
  [5450/162666 (3.4%)]  OK:4756  FAIL:694  ETA:52.4h
  [5500/162666 (3.4%)]  OK:4806  FAIL:694  ETA:52.4h
  [5550/162666 (3.4%)]  OK:4856  FAIL:694  ETA:52.4h
  [5600/162666 (3.4%)]  OK:4905  FAIL:695  ETA:52.4h
  [5650/162666 (3.5%)]  OK:4954  FAIL:696  ETA:52.3h
  [5700/162666 (3.5%)]  OK:5000  FAIL:700  ETA:52.3h
  [5750/162666 (3.5%)]  OK:5043  FAIL:707  ETA:52.3h
  [5800/162666 (3.6%)]  OK:5093  FAIL:707  ETA:52.3h
  [5850/162666 (3.6%)]  OK:5143  FAIL:707  ETA:52.3h
  [5900/162666 (3.6%)]  OK:5193  FAIL:707  ETA:52.3h
  [5950/162666 (3.7%)]  OK:5242  FAIL:708  ETA:52.2h
  [6000/162666 (3.7%)]  OK:5292  FAIL:708  ETA:52.2h
  [6050/162666 (3.7%)]  OK:5342  FAIL:708  ETA:52.2h
  [6100/162666 (3.8%)]  OK:5392  FAIL:708  ETA:52.2h
  [6150/162666 (3.8%)]  OK:5441  FAIL:709  ETA:52.2h
  [6200/162666 (3.8%)]  OK:5491  FAIL:709  ETA:52.2h
  [6250/162666 (3.8%)]  OK:5541  FAIL:709  ETA:52.1h
  [6300/162666 (3.9%)]  OK:5590  FAIL:710  ETA:52.1h
  [6350/162666 (3.9%)]  OK:5640  FAIL:710  ETA:52.1h
  [6400/162666 (3.9%)]  OK:5689  FAIL:711  ETA:52.1h
  [6450/162666 (4.0%)]  OK:5739  FAIL:711  ETA:52.1h
  [6500/162666 (4.0%)]  OK:5788  FAIL:712  ETA:52.1h
  [6550/162666 (4.0%)]  OK:5838  FAIL:712  ETA:52.0h
  [6600/162666 (4.1%)]  OK:5851  FAIL:749  ETA:52.0h
  [6650/162666 (4.1%)]  OK:5851  FAIL:799  ETA:52.0h
  [6700/162666 (4.1%)]  OK:5851  FAIL:849  ETA:52.0h
  [6750/162666 (4.1%)]  OK:5851  FAIL:899  ETA:52.0h
  [6800/162666 (4.2%)]  OK:5851  FAIL:949  ETA:52.0h
  [6850/162666 (4.2%)]  OK:5851  FAIL:999  ETA:51.9h
  [6900/162666 (4.2%)]  OK:5851  FAIL:1049  ETA:51.9h
  [6950/162666 (4.3%)]  OK:5851  FAIL:1099  ETA:51.9h
  [7000/162666 (4.3%)]  OK:5880  FAIL:1120  ETA:51.9h
  [7050/162666 (4.3%)]  OK:5926  FAIL:1124  ETA:51.9h
  [7100/162666 (4.4%)]  OK:5976  FAIL:1124  ETA:51.9h
  [7150/162666 (4.4%)]  OK:6026  FAIL:1124  ETA:51.8h
  [7200/162666 (4.4%)]  OK:6076  FAIL:1124  ETA:51.8h
  [7250/162666 (4.5%)]  OK:6126  FAIL:1124  ETA:51.8h
  [7300/162666 (4.5%)]  OK:6176  FAIL:1124  ETA:51.8h
  [7350/162666 (4.5%)]  OK:6226  FAIL:1124  ETA:51.8h
  [7400/162666 (4.5%)]  OK:6276  FAIL:1124  ETA:51.8h
  [7450/162666 (4.6%)]  OK:6326  FAIL:1124  ETA:51.7h
  [7500/162666 (4.6%)]  OK:6371  FAIL:1129  ETA:51.7h
  [7550/162666 (4.6%)]  OK:6418  FAIL:1132  ETA:51.7h
  [7600/162666 (4.7%)]  OK:6467  FAIL:1133  ETA:51.7h
  [7650/162666 (4.7%)]  OK:6509  FAIL:1141  ETA:51.7h
  [7700/162666 (4.7%)]  OK:6559  FAIL:1141  ETA:51.7h
  [7750/162666 (4.8%)]  OK:6609  FAIL:1141  ETA:51.6h
  [7800/162666 (4.8%)]  OK:6659  FAIL:1141  ETA:51.6h
  [7850/162666 (4.8%)]  OK:6709  FAIL:1141  ETA:51.6h
  [7900/162666 (4.9%)]  OK:6758  FAIL:1142  ETA:51.6h
  [7950/162666 (4.9%)]  OK:6807  FAIL:1143  ETA:51.6h
  [8000/162666 (4.9%)]  OK:6856  FAIL:1144  ETA:51.6h
  [8050/162666 (4.9%)]  OK:6906  FAIL:1144  ETA:51.5h
  [8100/162666 (5.0%)]  OK:6953  FAIL:1147  ETA:51.5h
  [8150/162666 (5.0%)]  OK:7002  FAIL:1148  ETA:51.5h
  [8200/162666 (5.0%)]  OK:7052  FAIL:1148  ETA:51.5h
  [8250/162666 (5.1%)]  OK:7102  FAIL:1148  ETA:51.5h
  [8300/162666 (5.1%)]  OK:7152  FAIL:1148  ETA:51.5h
  [8350/162666 (5.1%)]  OK:7201  FAIL:1149  ETA:51.4h
  [8400/162666 (5.2%)]  OK:7251  FAIL:1149  ETA:51.4h
  [8450/162666 (5.2%)]  OK:7301  FAIL:1149  ETA:51.4h
  [8500/162666 (5.2%)]  OK:7329  FAIL:1171  ETA:51.4h
  [8550/162666 (5.3%)]  OK:7379  FAIL:1171  ETA:51.4h
  [8600/162666 (5.3%)]  OK:7429  FAIL:1171  ETA:51.4h
  [8650/162666 (5.3%)]  OK:7477  FAIL:1173  ETA:51.3h
  [8700/162666 (5.3%)]  OK:7524  FAIL:1176  ETA:51.3h
  [8750/162666 (5.4%)]  OK:7574  FAIL:1176  ETA:51.3h
  [8800/162666 (5.4%)]  OK:7623  FAIL:1177  ETA:51.3h
  [8850/162666 (5.4%)]  OK:7673  FAIL:1177  ETA:51.3h
  [8900/162666 (5.5%)]  OK:7722  FAIL:1178  ETA:51.3h
  [8950/162666 (5.5%)]  OK:7772  FAIL:1178  ETA:51.2h
  [9000/162666 (5.5%)]  OK:7822  FAIL:1178  ETA:51.2h
  [9050/162666 (5.6%)]  OK:7872  FAIL:1178  ETA:51.2h
  [9100/162666 (5.6%)]  OK:7922  FAIL:1178  ETA:51.2h
  [9150/162666 (5.6%)]  OK:7972  FAIL:1178  ETA:51.2h
  [9200/162666 (5.7%)]  OK:8022  FAIL:1178  ETA:51.2h
  [9250/162666 (5.7%)]  OK:8071  FAIL:1179  ETA:51.1h
  [9300/162666 (5.7%)]  OK:8120  FAIL:1180  ETA:51.1h
  [9350/162666 (5.7%)]  OK:8168  FAIL:1182  ETA:51.1h
  [9400/162666 (5.8%)]  OK:8217  FAIL:1183  ETA:51.1h
  [9450/162666 (5.8%)]  OK:8244  FAIL:1206  ETA:51.1h
  [9500/162666 (5.8%)]  OK:8288  FAIL:1212  ETA:51.1h
  [9550/162666 (5.9%)]  OK:8338  FAIL:1212  ETA:51.0h
  [9600/162666 (5.9%)]  OK:8388  FAIL:1212  ETA:51.0h
  [9650/162666 (5.9%)]  OK:8438  FAIL:1212  ETA:51.0h
  [9700/162666 (6.0%)]  OK:8488  FAIL:1212  ETA:51.0h
  [9750/162666 (6.0%)]  OK:8538  FAIL:1212  ETA:51.0h
  [9800/162666 (6.0%)]  OK:8588  FAIL:1212  ETA:51.0h
  HTTP 503 for 6 Kilto Street, box hill north VIC 3129, Australia...
  [9850/162666 (6.1%)]  OK:8637  FAIL:1213  ETA:50.9h
  HTTP 503 for 792A Station Street, box hill north VIC 3129, Australia...
  [9900/162666 (6.1%)]  OK:8684  FAIL:1216  ETA:50.9h
  HTTP 503 for 28 Monash Street, box hill south VIC 3128, Australia...
  HTTP 503 for 356 Station Street, box hill south VIC 3128, Australia...
  HTTP 503 for 378 Station Street, box hill south VIC 3128, Australia...
  [9950/162666 (6.1%)]  OK:8731  FAIL:1219  ETA:50.9h
  [10000/162666 (6.1%)]  OK:8781  FAIL:1219  ETA:50.9h
  [10050/162666 (6.2%)]  OK:8831  FAIL:1219  ETA:50.9h
  [10100/162666 (6.2%)]  OK:8881  FAIL:1219  ETA:50.9h
  [10150/162666 (6.2%)]  OK:8931  FAIL:1219  ETA:50.8h
  [10200/162666 (6.3%)]  OK:8981  FAIL:1219  ETA:50.8h
  [10250/162666 (6.3%)]  OK:9031  FAIL:1219  ETA:50.8h
  [10300/162666 (6.3%)]  OK:9080  FAIL:1220  ETA:50.8h
  [10350/162666 (6.4%)]  OK:9089  FAIL:1261  ETA:50.8h
  [10400/162666 (6.4%)]  OK:9089  FAIL:1311  ETA:50.8h
  [10450/162666 (6.4%)]  OK:9089  FAIL:1361  ETA:50.7h
  [10500/162666 (6.5%)]  OK:9089  FAIL:1411  ETA:50.7h
  [10550/162666 (6.5%)]  OK:9089  FAIL:1461  ETA:50.7h
  [10600/162666 (6.5%)]  OK:9089  FAIL:1511  ETA:50.7h
  [10650/162666 (6.5%)]  OK:9089  FAIL:1561  ETA:50.7h
  [10700/162666 (6.6%)]  OK:9089  FAIL:1611  ETA:50.7h
  [10750/162666 (6.6%)]  OK:9093  FAIL:1657  ETA:50.6h
  [10800/162666 (6.6%)]  OK:9142  FAIL:1658  ETA:50.6h
  [10850/162666 (6.7%)]  OK:9190  FAIL:1660  ETA:50.6h
  [10900/162666 (6.7%)]  OK:9237  FAIL:1663  ETA:50.6h
  [10950/162666 (6.7%)]  OK:9286  FAIL:1664  ETA:50.6h
  [11000/162666 (6.8%)]  OK:9336  FAIL:1664  ETA:50.6h
  [11050/162666 (6.8%)]  OK:9386  FAIL:1664  ETA:50.5h
  [11100/162666 (6.8%)]  OK:9436  FAIL:1664  ETA:50.5h
  [11150/162666 (6.9%)]  OK:9485  FAIL:1665  ETA:50.5h
  [11200/162666 (6.9%)]  OK:9535  FAIL:1665  ETA:50.5h
  [11250/162666 (6.9%)]  OK:9585  FAIL:1665  ETA:50.5h
  [11300/162666 (6.9%)]  OK:9628  FAIL:1672  ETA:50.5h
  [11350/162666 (7.0%)]  OK:9677  FAIL:1673  ETA:50.4h
  [11400/162666 (7.0%)]  OK:9727  FAIL:1673  ETA:50.4h
  [11450/162666 (7.0%)]  OK:9776  FAIL:1674  ETA:50.4h
  [11500/162666 (7.1%)]  OK:9826  FAIL:1674  ETA:50.4h
  [11550/162666 (7.1%)]  OK:9864  FAIL:1686  ETA:50.4h
  [11600/162666 (7.1%)]  OK:9914  FAIL:1686  ETA:50.4h
  [11650/162666 (7.2%)]  OK:9964  FAIL:1686  ETA:50.3h
  [11700/162666 (7.2%)]  OK:10012  FAIL:1688  ETA:50.3h
  [11750/162666 (7.2%)]  OK:10061  FAIL:1689  ETA:50.3h
  [11800/162666 (7.3%)]  OK:10111  FAIL:1689  ETA:50.3h
  [11850/162666 (7.3%)]  OK:10161  FAIL:1689  ETA:50.3h
  [11900/162666 (7.3%)]  OK:10211  FAIL:1689  ETA:50.3h
  [11950/162666 (7.3%)]  OK:10260  FAIL:1690  ETA:50.2h
  [12000/162666 (7.4%)]  OK:10310  FAIL:1690  ETA:50.2h
  [12050/162666 (7.4%)]  OK:10360  FAIL:1690  ETA:50.2h
  [12100/162666 (7.4%)]  OK:10410  FAIL:1690  ETA:50.2h
  [12150/162666 (7.5%)]  OK:10459  FAIL:1691  ETA:50.2h
  [12200/162666 (7.5%)]  OK:10509  FAIL:1691  ETA:50.2h
  [12250/162666 (7.5%)]  OK:10557  FAIL:1693  ETA:50.1h
  [12300/162666 (7.6%)]  OK:10607  FAIL:1693  ETA:50.1h
  [12350/162666 (7.6%)]  OK:10657  FAIL:1693  ETA:50.1h
  [12400/162666 (7.6%)]  OK:10707  FAIL:1693  ETA:50.1h
  [12450/162666 (7.7%)]  OK:10757  FAIL:1693  ETA:50.1h
  [12500/162666 (7.7%)]  OK:10807  FAIL:1693  ETA:50.1h
  [12550/162666 (7.7%)]  OK:10857  FAIL:1693  ETA:50.0h
  [12600/162666 (7.7%)]  OK:10906  FAIL:1694  ETA:50.0h
  [12650/162666 (7.8%)]  OK:10954  FAIL:1696  ETA:50.0h
  [12700/162666 (7.8%)]  OK:11004  FAIL:1696  ETA:50.0h
  [12750/162666 (7.8%)]  OK:11054  FAIL:1696  ETA:50.0h
  [12800/162666 (7.9%)]  OK:11104  FAIL:1696  ETA:50.0h
  [12850/162666 (7.9%)]  OK:11153  FAIL:1697  ETA:49.9h
  [12900/162666 (7.9%)]  OK:11203  FAIL:1697  ETA:49.9h
  [12950/162666 (8.0%)]  OK:11253  FAIL:1697  ETA:49.9h
  [13000/162666 (8.0%)]  OK:11303  FAIL:1697  ETA:49.9h
  [13050/162666 (8.0%)]  OK:11353  FAIL:1697  ETA:49.9h
  [13100/162666 (8.1%)]  OK:11401  FAIL:1699  ETA:49.9h
  [13150/162666 (8.1%)]  OK:11450  FAIL:1700  ETA:49.8h
  [13200/162666 (8.1%)]  OK:11500  FAIL:1700  ETA:49.8h
  [13250/162666 (8.1%)]  OK:11550  FAIL:1700  ETA:49.8h
  [13300/162666 (8.2%)]  OK:11575  FAIL:1725  ETA:49.8h
  [13350/162666 (8.2%)]  OK:11624  FAIL:1726  ETA:49.8h
  [13400/162666 (8.2%)]  OK:11674  FAIL:1726  ETA:49.8h
  [13450/162666 (8.3%)]  OK:11722  FAIL:1728  ETA:49.7h
  [13500/162666 (8.3%)]  OK:11771  FAIL:1729  ETA:49.7h
  [13550/162666 (8.3%)]  OK:11821  FAIL:1729  ETA:49.7h
  [13600/162666 (8.4%)]  OK:11871  FAIL:1729  ETA:49.7h
  [13650/162666 (8.4%)]  OK:11920  FAIL:1730  ETA:49.7h
  [13700/162666 (8.4%)]  OK:11966  FAIL:1734  ETA:49.7h
  [13750/162666 (8.5%)]  OK:12014  FAIL:1736  ETA:49.6h
  [13800/162666 (8.5%)]  OK:12064  FAIL:1736  ETA:49.6h
  [13850/162666 (8.5%)]  OK:12114  FAIL:1736  ETA:49.6h
  [13900/162666 (8.5%)]  OK:12162  FAIL:1738  ETA:49.6h
  [13950/162666 (8.6%)]  OK:12211  FAIL:1739  ETA:49.6h
  [14000/162666 (8.6%)]  OK:12261  FAIL:1739  ETA:49.6h
  [14050/162666 (8.6%)]  OK:12310  FAIL:1740  ETA:49.5h
  [14100/162666 (8.7%)]  OK:12360  FAIL:1740  ETA:49.5h
  [14150/162666 (8.7%)]  OK:12409  FAIL:1741  ETA:49.5h
  [14200/162666 (8.7%)]  OK:12459  FAIL:1741  ETA:49.5h
  [14250/162666 (8.8%)]  OK:12508  FAIL:1742  ETA:49.5h
  [14300/162666 (8.8%)]  OK:12558  FAIL:1742  ETA:49.5h
  [14350/162666 (8.8%)]  OK:12593  FAIL:1757  ETA:49.4h
  [14400/162666 (8.9%)]  OK:12634  FAIL:1766  ETA:49.4h
  [14450/162666 (8.9%)]  OK:12684  FAIL:1766  ETA:49.4h
  [14500/162666 (8.9%)]  OK:12734  FAIL:1766  ETA:49.4h
  [14550/162666 (8.9%)]  OK:12781  FAIL:1769  ETA:49.4h
  [14600/162666 (9.0%)]  OK:12831  FAIL:1769  ETA:49.4h
  [14650/162666 (9.0%)]  OK:12881  FAIL:1769  ETA:49.3h
  [14700/162666 (9.0%)]  OK:12930  FAIL:1770  ETA:49.3h
