address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,largeLot
"402/2 Main Road, Clayton South, Clayton South, VIC ",Unit,Clayton South,true,660411,561349,759473,Low-Medium,46,10,10421,
"1 Bishop Street, Oakleigh, Oakleigh, VIC 3166",House,Oakleigh,true,1521014,1292862,1749166,Medium-High,66,5,4394,
"5 Tea Tree Court, Lyndhurst, Lyndhurst, VIC ",House,Lyndhurst,true,905412,769600,1041224,Medium-High,74,12,4809,
"90 Domain Way, Craigieburn, Craigieburn, VIC ",House,Craigieburn,true,709718,603260,816176,Medium,61,12,4916,
"23 Hudson Street, Fawkner, Fawkner, VIC ",House,Fawkner,true,804135,683515,924755,High,79,12,4401,
"3/2-4 Keefer Street, Mordialloc, Mordialloc, VIC ",Unit,Mordialloc,true,658973,560127,757819,Medium,56,9,3176,
"1/2A Dobson Street, South Yarra, South Yarra, VIC ",Unit,South Yarra,true,603215,512733,693697,Low-Medium,46,8,2922,
"2605/105 Batman Street, West Melbourne, West Melbourne, VIC 3003",Unit,West Melbourne,true,605574,514738,696410,Low-Medium,46,12,3529,
"1/28 Coromandel Crescent South, Knoxfield, Knoxfield, VIC ",Unit,Knoxfield,true,824889,753284,896494,Medium-High,72,6,3070,
"68 Alderford Drive, Wantirna, Wantirna, VIC ",House,Wantirna,true,1030518,875940,1185096,Low-Medium,49,12,4504,
"7/64 Cross Street, Footscray, Footscray, VIC ",Unit,Footscray,true,563527,478998,648056,Low-Medium,46,10,3281,
"3/15 Bent Street, Bentleigh, Bentleigh, VIC ",Unit,Bentleigh,true,645126,559545,730707,Medium-High,65,3,3181,
"33 Beauford Street, Huntingdale, Huntingdale, VIC ",House,Huntingdale,true,1226244,1042307,1410181,High,92,5,3883,
"21/2-18 Bourke Road, Oakleigh South, Oakleigh South, VIC ",Unit,Oakleigh South,true,784958,667214,902702,Medium,62,5,3042,
"5 Evelyn Crescent, Sunshine West, Sunshine West, VIC ",House,Sunshine West,true,769275,653884,884666,Medium-High,76,12,4228,
"12 Allambi Street, Ashwood, Ashwood, VIC ",House,Ashwood,true,1149194,976815,1321573,Medium-High,77,4,4299,
"49 Burt Street, Altona, Altona, VIC ",Unit,Altona,true,881283,749091,1013475,Medium-High,65,12,4405,
