address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,source
"402/2 Main Road, Clayton South, Clayton South, VIC ",Unit,Clayton South,true,660411,561349,759473,Low-Medium,46,10,10421,,existing
"1 Bishop Street, Oakleigh, Oakleigh, VIC 3166",House,Oakleigh,true,1521014,1292862,1749166,Medium-High,66,5,4394,,existing
"5 Tea Tree Court, Lyndhurst, Lyndhurst, VIC ",House,Lyndhurst,true,905412,769600,1041224,Medium-High,74,12,4809,,existing
"90 Domain Way, Craigieburn, Craigieburn, VIC ",House,Craigieburn,true,709718,603260,816176,Medium,61,12,4916,,existing
"23 Hudson Street, Fawkner, Fawkner, VIC ",House,Fawkner,true,804135,683515,924755,High,79,12,4401,,existing
"3/2-4 Keefer Street, Mordialloc, Mordialloc, VIC ",Unit,Mordialloc,true,658973,560127,757819,Medium,56,9,3176,,existing
"1/2A Dobson Street, South Yarra, South Yarra, VIC ",Unit,South Yarra,true,603215,512733,693697,Low-Medium,46,8,2922,,existing
"2605/105 Batman Street, West Melbourne, West Melbourne, VIC 3003",Unit,West Melbourne,true,605574,514738,696410,Low-Medium,46,12,3529,,existing
"1/28 Coromandel Crescent South, Knoxfield, Knoxfield, VIC ",Unit,Knoxfield,true,824889,753284,896494,Medium-High,72,6,3070,,existing
"68 Alderford Drive, Wantirna, Wantirna, VIC ",House,Wantirna,true,1030518,875940,1185096,Low-Medium,49,12,4504,,existing
"7/64 Cross Street, Footscray, Footscray, VIC ",Unit,Footscray,true,563527,478998,648056,Low-Medium,46,10,3281,,existing
"3/15 Bent Street, Bentleigh, Bentleigh, VIC ",Unit,Bentleigh,true,645126,559545,730707,Medium-High,65,3,3181,,existing
"33 Beauford Street, Huntingdale, Huntingdale, VIC ",House,Huntingdale,true,1226244,1042307,1410181,High,92,5,3883,,existing
"21/2-18 Bourke Road, Oakleigh South, Oakleigh South, VIC ",Unit,Oakleigh South,true,784958,667214,902702,Medium,62,5,3042,,existing
"5 Evelyn Crescent, Sunshine West, Sunshine West, VIC ",House,Sunshine West,true,769275,653884,884666,Medium-High,76,12,4228,,existing
"12 Allambi Street, Ashwood, Ashwood, VIC ",House,Ashwood,true,1149194,976815,1321573,Medium-High,77,4,4299,,existing
"49 Burt Street, Altona, Altona, VIC ",Unit,Altona,true,881283,749091,1013475,Medium-High,65,12,4405,,existing
"6/37-39 Hillcrest Grove, Springvale, Springvale, VIC ",Unit,Springvale,true,594928,505689,684167,Medium-High,65,4,3313,,existing
"102/690 High Street, Thornbury, Thornbury, VIC 3071",Unit,Thornbury,true,429886,377104,482668,Medium-High,70,4,3218,,existing
"453 Station Street, Bonbeach, Bonbeach, VIC ",House,Bonbeach,true,712447,605580,819314,Medium,51,9,4740,,existing
"3/14 Golden Avenue, Bonbeach, Bonbeach, VIC ",Unit,Bonbeach,true,641236,545051,737421,Medium,63,8,2551,,existing
"9 Botany Court, Clarinda, Clarinda, VIC ",House,Clarinda,true,870907,740271,1001543,High,90,12,4509,,existing
"1 Wembley Court, Mulgrave, Mulgrave, VIC ",House,Mulgrave,true,909408,772997,1045819,Medium-High,69,12,4501,,existing
"23 Castlerock Drive, Wyndham Vale, Wyndham Vale, VIC ",House,Wyndham Vale,true,628286,534043,722529,Medium-High,77,12,4407,,existing
"47 Milton Street, Bell Park, Bell Park, VIC ",House,Bell Park,true,615450,523133,707768,High,97,12,4606,,existing
"4 Twain Street, Officer, Officer, VIC ",House,Officer,true,718011,610309,825713,Medium-High,66,12,4404,,existing
"603/8 Martin Street, Heidelberg, Heidelberg, VIC ",Unit,Heidelberg,true,608203,516973,699433,Low-Medium,46,9,3184,,existing
"1/67 Kingston Road, Heatherton, Heatherton, VIC ",Unit,Heatherton,true,712682,605780,819584,Medium,52,4,3367,,existing
"80 Barretts Road, Langwarrin South, Langwarrin South, VIC ",House,Langwarrin South,true,6791,5772,7810,Medium,60,12,3894,,existing
"8/15-19 Argus Street, Cheltenham, Cheltenham, VIC ",Unit,Cheltenham,true,571716,485959,657473,Medium,58,5,3275,,existing
"409B/1093 Plenty Road, Bundoora, Bundoora, VIC ",House,Bundoora,true,754866,641636,868096,Medium,61,12,4029,,existing
"62 James Street, Fawkner, Fawkner, VIC ",House,Fawkner,true,804135,683515,924755,High,79,12,3560,,existing
"114 Boundary Road, Narre Warren East, Narre Warren East, VIC ",House,Narre Warren East,true,1806063,1535154,2076972,Low-Medium,44,12,4596,,existing
"4 Leslie Street, Frankston South, Frankston South, VIC ",House,Frankston South,true,1051732,893972,1209492,Medium,54,12,4314,,existing
"2/42 Abercrombie Avenue, Keysborough, Keysborough, VIC ",Unit,Keysborough,true,679983,577986,781980,Low-Medium,48,2,4081,,existing
"2/5 Vista Avenue, Ringwood East, Ringwood East, VIC ",Unit,Ringwood East,true,772330,656481,888179,Medium-High,73,10,3484,,existing
"403A/41 Stockade Avenue, Coburg, Coburg, VIC ",House,Coburg,true,1092074,928263,1255885,Low-Medium,47,12,4197,,existing
"12/6 Walnut Street, Carnegie, Carnegie, VIC ",Unit,Carnegie,true,674584,573396,775772,Low-Medium,46,12,3590,,existing
"6/51 Buckley Street, Moonee Ponds, Moonee Ponds, VIC 3039",Unit,Moonee Ponds,true,477892,406208,549576,Low-Medium,33,1,4397,,existing
"2/181 Civic Parade, Altona, Altona, VIC ",Unit,Altona,true,710393,603834,816952,Low-Medium,47,12,2662,,existing
"91 Cambridge Crescent, Wyndham Vale, Wyndham Vale, VIC ",House,Wyndham Vale,true,554198,471068,637328,Medium-High,67,12,3379,,existing
"1 Kempsey Walk, Armstrong Creek, Armstrong Creek, VIC ",House,Armstrong Creek,true,637329,541730,732928,Medium-High,68,12,4404,,existing
"335 Boundary Road, Dromana, Dromana, VIC ",House,Dromana,true,669641,569195,770087,Low-Medium,49,12,4507,,existing
"51 Crossdale Rise, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,765102,650337,879867,Medium-High,75,12,4582,,existing
"2/333-335 North Road, Caulfield South, Caulfield South, VIC ",Unit,Caulfield South,true,470204,399673,540735,Low-Medium,46,4,2788,,existing
"50 Bella Vista Drive, Tootgarook, Tootgarook, VIC ",House,Tootgarook,true,685616,582774,788458,Medium,60,12,3914,,existing
"6 Essex Court, Bayswater, Bayswater, VIC ",House,Bayswater,true,768563,653279,883847,High,92,12,4588,,existing
